Country name,Dystopia + residual,Explained by: Perceptions of corruption,Explained by: Generosity,Explained by: Freedom to make life choices,Explained by: Healthy life expectancy,Explained by: Social support,Explained by: Log GDP per capita,Regional indicator,Score,Rank,xText
Finland,0.414817649,0.061336394,0.015812293,0.088115277,0.094491201,0.14103545,0.184391737,Western Europe,7.842,1,"Finland ( #1, 7.842)"
Denmark,0.376377953,0.063648294,0.027296588,0.090026247,0.100131234,0.145406824,0.197112861,Western Europe,7.62,2,"Denmark ( #2, 7.62)"
Switzerland,0.375033025,0.054557464,0.026948481,0.086261559,0.107793923,0.142536328,0.206869221,Western Europe,7.571,3,"Switzerland ( #3, 7.571)"
Iceland,0.392772041,0.022504633,0.038787397,0.092401377,0.102197511,0.15514959,0.19618745,Western Europe,7.554,4,"Iceland ( #4, 7.554)"
Netherlands,0.374866024,0.051446945,0.040460879,0.086682744,0.100884244,0.144560557,0.201098607,Western Europe,7.464,5,"Netherlands ( #5, 7.464)"
Norway,0.349025974,0.057765152,0.033685065,0.095102814,0.105790043,0.149891775,0.208739177,Western Europe,7.392,6,"Norway ( #6, 7.392)"
Sweden,0.364389515,0.060844764,0.033138666,0.093032731,0.103626239,0.144234687,0.200733397,Western Europe,7.363,7,"Sweden ( #7, 7.363)"
Luxembourg,0.3621843,0.048191126,0.022662116,0.087235495,0.103754266,0.136928328,0.239044369,Western Europe,7.324,8,"Luxembourg ( #8, 7.324)"
New Zealand,0.358939123,0.061151573,0.037927717,0.091383812,0.107874124,0.150336677,0.192386973,North America and ANZ,7.277,9,"New Zealand ( #9, 7.277)"
Austria,0.383101693,0.040181643,0.029585799,0.088069355,0.107609743,0.146140085,0.205311683,Western Europe,7.268,10,"Austria ( #10, 7.268)"
Australia,0.361687317,0.044131978,0.040512321,0.090073785,0.111513295,0.149798134,0.202283169,North America and ANZ,7.183,11,"Australia ( #11, 7.183)"
Israel,0.430767081,0.016627078,0.029062456,0.071119184,0.110101998,0.150062876,0.192259327,Middle East and North Africa,7.157,12,"Israel ( #12, 7.157)"
Germany,0.394689029,0.042767296,0.027253669,0.083857442,0.10580014,0.138784067,0.206848358,Western Europe,7.155,13,"Germany ( #13, 7.155)"
Canada,0.363930733,0.04716317,0.034633254,0.091229058,0.112346896,0.146980149,0.203716739,North America and ANZ,7.103,14,"Canada ( #14, 7.103)"
Ireland,0.336533032,0.051806889,0.033596838,0.08554489,0.106295878,0.154150198,0.232072276,Western Europe,7.085,15,"Ireland ( #15, 7.085)"
Costa Rica,0.479066478,0.011739745,0.014851485,0.095190948,0.102121641,0.136633663,0.16039604,Latin America and Caribbean,7.069,16,"Costa Rica ( #16, 7.069)"
United Kingdom,0.367497169,0.043318233,0.04813137,0.082106455,0.10716308,0.150339751,0.201443941,Western Europe,7.064,17,"United Kingdom ( #17, 7.064)"
Czech Republic,0.448528356,0.006604451,0.007465901,0.08327351,0.100933238,0.15649677,0.196697775,Central and Eastern Europe,6.965,18,"Czech Republic ( #18, 6.965)"
United States,0.403826788,0.022155086,0.036253776,0.079700762,0.089339663,0.148180118,0.220543807,North America and ANZ,6.951,19,"United States ( #19, 6.951)"
Belgium,0.418788411,0.027363184,0.012876793,0.071553995,0.109306409,0.146034533,0.214076675,Western Europe,6.834,20,"Belgium ( #20, 6.834)"
